Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
70016,CT,64.28571429,28,41.42857143,0,30
70017,CT,48.57142857,37,85.71428571,10,50.89285714
70018,CT,34.28571429,52,42.85714286,0,33.57142857
70019,CT,48.57142857,68,60,0,45.85714286
70020,CT,60,45,47.14285714,0,36.10714286
70021,CT,62.85714286,20,31.66666667,10,26.45238095
70022,CT,67.14285714,37,52.85714286,0,37.10714286
70024,CT,51.42857143,42,47.14285714,0,34.5
70025,CT,37.14285714,16,54.28571429,0,29.42857143
70027,CT,48.57142857,11,51.42857143,30,35.67857143
70028,CT,60,16,41.42857143,0,26.57142857
70029,CT,65.71428571,26,72.85714286,0,42.21428571
70031,CT,67.14285714,39,68.57142857,0,43.89285714
70033,CT,54.28571429,17,32.85714286,0,22.82142857
70034,CT,70,31,47.14285714,0,33.60714286
70035,CT,65.71428571,26,45.71428571,10,33.85714286
70036,CT,57.14285714,14,68.57142857,0,36.64285714
70039,CT,,,33.33333333,20,28.20512821
70040,CT,,,40,40,40
80001,DE,75.71428571,32,64.28571429,0,41.28571429
80003,DE,68.57142857,15,74.28571429,0,40.32142857
80004,DE,57.14285714,23,28.57142857,0,22.89285714
80006,DE,62.85714286,46,57.14285714,0,40.64285714
80007,DE,70,35,42.85714286,10,35.39285714
80009,DE,72.85714286,27,67.14285714,10,43.39285714
90001,DC,52.85714286,16,30,0,21.28571429
90003,DC,42.85714286,23,45.71428571,30,35.82142857
90004,DC,51.42857143,24,43.33333333,0,28.47619048
90005,DC,48.57142857,18,34.28571429,20,28.07142857
90006,DC,20,12,47.14285714,10,26.35714286
90008,DC,21.42857143,4,75,20,38.14285714
90011,DC,22.85714286,6,54.28571429,0,25.5
100001,FL,57.14285714,17,31.42857143,0,22.53571429
100002,FL,27.14285714,18,50,0,27.21428571
100006,FL,47.14285714,22,34.28571429,0,23.92857143
100007,FL,65.71428571,53,27.14285714,0,30.67857143
